gen,best,avg,stable
1,3296608.468850,3346150.497396,0
2,3296608.468850,55732137.436251,0
3,3296608.468850,76403817.663023,1
4,3296608.468850,78196157.397788,2
5,3296608.468850,78200159.867981,3
6,3296608.468850,81639958.753553,4
7,3296608.468850,78684904.513671,5
8,3296608.468850,78519321.751932,6
9,3296608.468850,79836236.177535,7
10,3296608.468850,80973555.961769,8
11,3296608.468850,79519785.203872,9
12,3296608.468850,79412320.347171,10
13,3296608.468850,78558143.131658,11
14,3296608.468850,79206747.873411,12
15,3296608.468850,78447883.702902,13
16,3296608.468850,76914440.390740,14
17,3296608.468850,77433076.374164,15
18,3296608.468850,77801791.269301,16
19,3296608.468850,76143516.623631,17
20,3296608.468850,74492923.973968,18
21,3296608.468850,77409640.535032,19
22,3296608.468850,73896068.684266,20
23,3296608.468850,75363688.891475,21
24,3296608.468850,74657780.496679,22
25,3296608.468850,71012751.597166,23
26,3296608.468850,66204228.459342,24
27,3296608.468850,58240263.330135,25
28,3296608.468850,53003869.859902,26
29,3296608.468850,43694687.434067,27
30,3296608.468850,40403664.489623,28
31,3296608.468850,36426807.607866,29
32,3296608.468850,29364431.194737,30
33,3296608.468850,25790639.138364,31
34,3296608.468850,25403734.035655,32
35,3296608.468850,17805613.321848,33
36,3296608.468850,18322934.365775,34
37,3296608.468850,18314415.091010,35
38,3296608.468850,17891816.221965,36
39,3296608.468850,18080814.521205,37
40,3296608.468850,11871589.980515,38
41,3296608.468850,12357883.546852,39
42,3296608.468850,11332288.462410,40
43,3296608.468850,15145140.496752,41
44,3296608.468850,15550594.397406,42
45,3296608.468850,13877868.059821,43
46,3296608.468850,18477873.620439,44
47,3296608.468850,9229929.834747,45
48,3296608.468850,10735155.956753,46
49,3296608.468850,15370832.138572,47
50,3296608.468850,21952790.358884,48
51,3296608.468850,23247720.577820,49
52,3296608.468850,22976287.374376,50
53,3296608.468850,22859294.074821,51
54,3296608.468850,15202938.883163,52
55,3296608.468850,16374921.617484,53
56,3296608.468850,15595344.400513,54
57,3296608.468850,13003420.015395,55
58,3296608.468850,8704996.922292,56
59,3296608.468850,11875626.024443,57
60,3296608.468850,19414258.620284,58
61,3296608.468850,17650922.101975,59
62,3296608.468850,12755722.447906,60
63,3296608.468850,19568411.245005,61
64,3296608.468850,19528832.728590,62
65,3296608.468850,15499941.962835,63
66,3296608.468850,19643055.689115,64
67,3296608.468850,22043875.949213,65
68,3296608.468850,22019514.927022,66
69,3296608.468850,15770625.530716,67
70,3296608.468850,16679881.658499,68
71,3296608.468850,27681979.090143,69
72,3296608.468850,33500643.804623,70
73,3296608.468850,29013785.350753,71
74,3296608.468850,40052768.297639,72
75,3296608.468850,42402597.633088,73
76,3296608.468850,51428621.930635,74
77,3296608.468850,56589648.886779,75
78,3296608.468850,51851807.746016,76
79,3296608.468850,50770658.805066,77
80,3296608.468850,43361570.653048,78
81,3296608.468850,29477979.009721,79
82,3296608.468850,19740476.623667,80
83,3296608.468850,14854710.040672,81
84,3296608.468850,10403201.767062,82
85,3296608.468850,8024293.063721,83
86,3296608.468850,6725300.648401,84
87,3296608.468850,5765014.702194,85
88,3296608.468850,5245454.681604,86
89,3296608.468850,4645189.477836,87
90,3296608.468850,4059852.958631,88
91,3296608.468850,3758084.358064,89
92,3296608.468850,3631571.525046,90
93,3296608.468850,3504736.635617,91
94,3296608.468850,3452901.585872,92
95,3296608.468850,3449867.017283,93
96,3296608.468850,3396091.926734,94
97,3296608.468850,3392633.634207,95
98,3295942.739484,3414577.048597,96
99,3295942.739484,3330592.591555,0
100,3295659.816720,3333267.422857,1
101,3295659.816720,3357590.427763,0
102,3295558.445904,3349302.047151,1
103,3295426.785133,3330603.579966,0
104,3295426.785133,3416472.798873,0
105,3295348.230514,3384612.351704,1
106,3295348.230514,3336588.466784,0
107,3295348.230514,3368606.035528,1
108,3295348.230514,3385875.071093,2
109,3295317.606661,3357293.544072,3
110,3295239.052041,3374450.358344,0
111,3295239.052041,3360288.174996,0
112,3295239.052041,3314923.785746,1
113,3295239.052041,3312297.724773,2
114,3295239.052041,3321785.374182,3
115,3295239.052041,3313849.212967,4
