gen,best,avg,stable
1,972994.906705,995565.598683,0
2,972994.906705,13681836.601092,0
3,972994.906705,17611935.547034,1
4,972994.906705,20626482.353252,2
5,972994.906705,20384791.993422,3
6,972994.906705,20164482.148846,4
7,972994.906705,20469337.493943,5
8,972994.906705,19577481.371117,6
9,972994.906705,18347514.006492,7
10,972994.906705,19122843.544549,8
11,972994.906705,20190487.487770,9
12,972994.906705,20579514.452050,10
13,972994.906705,19739333.094476,11
14,972994.906705,18796576.808474,12
15,972994.906705,18479386.145063,13
16,972994.906705,18893317.151979,14
17,972994.906705,19000766.144846,15
18,972994.906705,19118763.341141,16
19,972994.906705,18813985.230125,17
20,972994.906705,19214825.243320,18
21,972994.906705,18952251.185810,19
22,972994.906705,18361968.762037,20
23,972994.906705,17982751.632235,21
24,972994.906705,17400782.290648,22
25,972994.906705,17057639.619538,23
26,972994.906705,15852239.643465,24
27,972994.906705,16375689.226468,25
28,972994.906705,15955272.932589,26
29,972994.906705,15428377.799100,27
30,972994.906705,15096528.390307,28
31,972994.906705,15426798.349007,29
32,972994.906705,16156336.422063,30
33,972994.906705,16830641.479614,31
34,972994.906705,16617072.077388,32
35,972994.906705,16457070.959093,33
36,972994.906705,16738828.665504,34
37,972994.906705,17790659.568589,35
38,972994.906705,18194608.684339,36
39,972994.906705,17703549.373798,37
40,972994.906705,14838626.554440,38
41,972994.906705,12696181.441520,39
42,972994.906705,9891455.067763,40
43,972994.906705,7002206.271745,41
44,972994.906705,4654387.205188,42
45,972994.906705,3704128.232383,43
46,972994.906705,2657565.191609,44
47,972994.906705,2160092.107504,45
48,972994.906705,1922522.226208,46
49,972994.906705,1683107.317949,47
50,972994.906705,1597804.486344,48
51,972994.906705,1488779.284383,49
52,972994.906705,1317875.823191,50
53,972994.906705,1210117.215060,51
54,972994.906705,1127516.769479,52
55,972994.906705,1086228.523769,53
56,972994.906705,1076111.133892,54
57,972994.906705,1073870.815547,55
58,972994.906705,1056932.375458,56
59,972994.906705,1036505.209621,57
60,972994.906705,1034473.872949,58
61,972994.906705,1024680.597595,59
62,972994.906705,1034312.548526,60
63,972994.906705,1046374.576193,61
64,972994.906705,1031587.278056,62
65,972994.906705,1022006.223190,63
66,972994.906705,1024654.270473,64
67,972994.906705,1026809.205849,65
68,972994.906705,1017427.156135,66
69,972994.906705,1032254.214432,67
70,972994.906705,1024007.785266,68
71,972994.906705,1024990.366795,69
72,972973.520521,1016052.211171,70
73,972973.520521,1038333.352912,0
74,972973.520521,1039338.441896,1
75,972973.520521,1052303.691934,2
76,972973.520521,1063828.408147,3
77,972973.520521,1047928.205030,4
78,972973.520521,1031184.547107,5
79,972973.520521,1019223.406257,6
80,972973.520521,1003670.345153,7
81,972973.520521,1002184.721388,8
82,972973.520521,1004397.989631,9
83,972973.520521,992270.498218,10
84,972973.520521,984760.721405,11
85,972973.520521,990325.973740,12
86,972959.381608,985639.177323,13
87,972959.381608,983732.583773,0
88,972959.381608,985109.766926,1
89,972929.346889,985565.056836,2
90,972929.346889,992300.628429,0
91,972929.346889,1001174.930410,1
92,972929.260244,988612.197310,2
93,972915.207976,989345.841731,0
94,972897.161167,979107.272214,0
95,972865.044370,978266.042309,0
96,972862.342125,975484.115489,0
97,972820.585216,978524.031147,0
98,972746.169919,980282.362906,0
99,972585.609296,982248.434829,0
100,972584.305716,978866.724423,0
101,972584.305716,979779.300897,0
102,972527.508204,994651.736326,1
103,972489.668104,995836.124838,0
104,972489.668104,997860.747223,0
105,972489.668104,994058.205656,1
106,972470.229655,989021.483648,2
107,972460.503440,987596.657393,0
108,972460.503440,980424.966633,0
109,972454.248265,988121.858243,1
110,972454.248265,992235.797383,0
111,972454.248265,989729.095647,1
112,972454.248265,996593.166498,2
113,972454.248265,984421.663703,3
114,972454.248265,983632.967989,4
115,972454.248265,982851.121680,5
116,972454.248265,980960.293403,6
117,972454.248265,978485.894539,7
118,972454.248265,977418.864209,8
119,972454.248265,987759.388952,9
120,972454.248265,991904.646341,10
121,972454.248265,978558.908443,11
122,972454.248265,975061.223559,12
123,972454.248265,984697.924019,13
124,972454.248265,982379.299188,14
125,972454.248265,978394.433341,15
126,972454.248265,989238.602920,16
127,972454.248265,988463.991145,17
128,972454.248265,983418.625022,18
129,972454.248265,983433.517761,19
130,972454.248265,991532.867075,20
131,972454.248265,989273.031920,21
132,972454.248265,992797.782432,22
133,972454.248265,986291.297582,23
134,972454.248265,982855.390151,24
135,972454.248265,976387.877521,25
136,972454.248265,980756.563296,26
137,972454.248265,987986.084024,27
138,972454.248265,981095.513013,28
139,972454.248265,982008.353885,29
140,972454.248265,975606.527395,30
141,972454.248265,981233.970553,31
142,972454.248265,982756.097217,32
143,972419.078353,987373.720643,33
144,972419.078353,985416.806694,0
145,972419.078353,979187.928985,1
146,972419.078353,981951.978705,2
147,972419.078353,984752.561817,3
148,972419.078353,986304.285363,4
149,972419.078353,997501.937594,5
150,972419.078353,1006423.191094,6
151,972419.078353,999768.548040,7
152,972419.078353,993239.167824,8
153,972419.078353,991338.001932,9
154,972419.078353,982591.511616,10
155,972419.078353,981733.246912,11
156,972419.078353,984164.788971,12
157,972419.078353,982355.429866,13
158,972419.078353,979122.270268,14
159,972419.078353,985327.361829,15
160,972419.078353,983180.591107,16
161,972374.400805,992536.207608,17
162,972374.400805,993971.622459,0
163,972374.400805,988228.507308,1
164,972374.400805,994553.200734,2
165,972374.400805,992236.253707,3
166,972367.918085,1000700.661047,4
167,972365.544496,991323.554961,0
168,972352.263216,991054.664497,0
169,972310.721758,1003390.267645,0
170,972285.122468,1013039.706928,0
171,972268.570909,1018295.775623,0
172,972268.570909,1045073.884677,0
173,972268.570909,1026906.347706,1
174,972268.570909,1054149.552224,2
175,972259.561490,1054596.984434,3
176,972259.561490,1027340.049968,0
177,972258.638892,1024205.743658,1
178,972224.024383,1010125.400909,0
179,972224.024383,991640.770664,0
180,972224.024383,984055.082979,1
181,972220.169013,982953.496041,2
182,972207.687598,981369.536801,0
183,972182.655331,986812.756760,0
184,972169.217719,987844.539054,0
185,972169.217719,990203.127362,0
186,972166.103771,986197.220535,1
187,972156.171755,985946.504442,0
188,972156.171755,985511.455854,0
189,972156.171755,999243.313849,1
190,972115.407044,978670.226693,2
191,972114.980221,974543.563620,0
192,972072.369536,978368.029289,0
193,971991.927512,976745.942535,0
194,971967.720652,976557.510916,0
195,971937.913239,982044.156174,0
196,971937.913239,985765.279334,0
197,971885.814048,984553.428504,1
198,971885.814048,984866.381393,0
199,971885.814048,995165.579431,1
200,971885.814048,985860.506334,2
