gen,best,avg,stable
358,77454.195912,79734.147038,4
359,77454.195912,79656.499730,5
360,77454.195912,79895.498431,6
361,77454.195912,81660.880439,7
362,77454.195912,83259.112434,8
363,77454.195912,81754.948206,9
364,77445.018381,79869.780591,10
365,77370.443820,79587.388541,0
366,77370.443820,79448.533347,0
367,77370.443820,79867.805610,1
368,77370.443820,80351.354768,2
369,77308.017581,79315.726616,3
370,77308.017581,79496.119444,0
371,77308.017581,79521.502277,1
372,77308.017581,79063.570846,2
373,77308.017581,78976.506966,3
374,77308.017581,79327.852257,4
375,77308.017581,78548.291987,5
376,77292.017986,78642.653563,6
377,77292.017986,78798.978378,0
378,77292.017986,78842.564951,1
379,77292.017986,78798.332735,2
380,77232.912856,78665.460153,3
381,77232.912856,79947.237831,0
382,77130.744668,79519.413966,1
383,77130.744668,79949.583789,0
384,77130.744668,78583.768520,1
385,77130.744668,79450.876264,2
386,77011.359002,79741.364243,3
387,77011.359002,80208.066631,0
388,77011.359002,79890.166729,1
389,77011.359002,80005.068565,2
390,77011.359002,79883.933642,3
391,77011.359002,79236.287854,4
392,77011.359002,79074.278708,5
393,77011.359002,79749.204078,6
394,77011.359002,78583.235436,7
395,77011.359002,78194.836958,8
396,77011.359002,78049.531944,9
397,77011.359002,78016.407809,10
398,77011.359002,78383.276676,11
399,77011.359002,78426.176065,12
400,77011.359002,78784.289235,13
401,77011.359002,79776.709770,14
402,77011.359002,78714.105000,15
403,77011.359002,79149.018960,16
404,76920.877975,78798.029466,17
405,76920.877975,79081.439121,0
406,76920.877975,79540.589511,1
407,76920.877975,79300.022201,2
408,76920.877975,78707.359539,3
409,76920.877975,78624.967494,4
410,76920.877975,78296.548281,5
411,76920.877975,78006.094160,6
412,76894.255670,78051.825314,7
413,76894.255670,78397.792528,0
414,76894.255670,78682.142927,1
415,76894.255670,79110.790953,2
416,76894.255670,78450.747076,3
417,76894.255670,78578.937916,4
418,76894.255670,78465.044226,5
419,76894.255670,78035.121761,6
420,76894.255670,77892.495660,7
421,76894.255670,78147.134866,8
422,76894.255670,78669.383523,9
423,76894.255670,78634.196016,10
424,76894.255670,79174.059561,11
425,76894.255670,81250.685358,12
426,76894.255670,81320.950026,13
427,76894.255670,81036.123411,14
428,76894.255670,79586.675042,15
429,76894.255670,78249.424463,16
430,76894.255670,78858.112381,17
431,76894.255670,79829.991133,18
432,76894.255670,80454.112267,19
433,76894.255670,79443.471934,20
434,76894.255670,79668.660366,21
435,76894.255670,81793.489575,22
436,76894.255670,80222.596134,23
437,76894.255670,81306.162622,24
438,76894.255670,80969.070791,25
439,76866.761207,80316.158996,26
440,76866.761207,79125.189118,0
441,76800.772544,78943.883594,1
442,76800.772544,79621.455843,0
443,76800.772544,78844.553003,1
444,76800.772544,78765.707592,2
445,76800.772544,79463.689903,3
446,76800.772544,78366.684401,4
447,76800.772544,78875.031559,5
448,76800.772544,79066.523479,6
449,76800.772544,78373.701053,7
450,76800.772544,78884.917187,8
451,76800.772544,77999.037091,9
452,76800.772544,77652.639375,10
453,76800.772544,77596.360908,11
454,76800.772544,78109.332425,12
455,76800.772544,77773.026231,13
456,76800.772544,78449.146849,14
457,76714.164815,78951.090092,15
458,76714.164815,79125.143288,0
459,76714.164815,80700.179288,1
460,76714.164815,81352.281105,2
461,76714.164815,79751.878112,3
462,76714.164815,81392.456967,4
463,76714.164815,84802.121861,5
464,76714.164815,85572.687677,6
465,76714.164815,87864.286842,7
466,76714.164815,90900.630931,8
467,76714.164815,88265.416201,9
468,76714.164815,86486.451804,10
469,76714.164815,81897.070261,11
470,76576.866645,78542.242825,12
471,76576.866645,78158.358543,0
472,76576.866645,78591.651148,1
473,76526.381620,78797.473200,2
474,76526.381620,78928.585310,0
475,76526.381620,78291.778498,1
476,76526.381620,78678.243892,2
477,76461.493991,78957.022096,3
478,76461.493991,78621.708583,0
479,76461.493991,79113.183354,1
480,76461.493991,79936.324751,2
481,76447.377409,79143.340012,3
482,76413.673147,78719.637213,0
483,76413.673147,78392.117012,0
484,76413.673147,78493.338223,1
485,76413.673147,78251.730961,2
486,76413.673147,78115.509481,3
487,76413.673147,78100.186971,4
488,76413.673147,78648.313119,5
489,76339.747538,78938.981109,6
490,76339.747538,77743.297819,0
491,76332.895223,77641.370876,1
492,76254.585598,78113.957444,0
493,76254.585598,77598.789785,0
494,76254.585598,77480.736147,1
495,76254.585598,77741.408915,2
496,76254.585598,77554.024648,3
497,76252.267021,77676.322292,4
498,76252.267021,78489.704862,0
