gen,best,avg,stable
170,375892.472194,379092.171530,16
171,375892.472194,380497.256047,17
172,375892.472194,383335.055311,18
173,375711.987746,381100.134941,19
174,375711.987746,381548.837943,0
175,375711.987746,380848.303324,1
176,375711.987746,381388.080090,2
177,375711.987746,382162.359893,3
178,375711.987746,382646.406689,4
179,375711.987746,385205.639854,5
180,375711.987746,383114.439797,6
181,375711.987746,386930.583812,7
182,375711.987746,379151.553329,8
183,375711.987746,378705.044378,9
184,375711.987746,378867.800711,10
185,375711.987746,379275.405342,11
186,375711.987746,378520.276156,12
187,375711.987746,378913.557324,13
188,375711.987746,381100.556398,14
189,375711.987746,379581.242598,15
190,375711.987746,380691.318494,16
191,375711.987746,381759.324707,17
192,375711.987746,379927.349676,18
193,375711.987746,380416.834793,19
194,375711.987746,378320.238090,20
195,375711.987746,379802.709699,21
196,375711.987746,377502.428955,22
197,375711.987746,377860.721827,23
198,375660.681643,377376.109278,24
199,375660.681643,378720.074630,0
200,375660.681643,378280.423300,1
201,375660.681643,380299.331937,2
202,375660.681643,380780.251858,3
203,375660.681643,385209.223539,4
204,375660.681643,380498.532550,5
205,375660.681643,382946.463154,6
206,375660.681643,383286.346319,7
207,375660.681643,385554.415846,8
208,375626.006887,386489.263308,9
209,375626.006887,383241.598047,0
210,375626.006887,381803.180834,1
211,375626.006887,384798.437020,2
212,375611.304016,378756.675355,3
213,375611.304016,378032.903669,0
214,375611.304016,378604.770825,1
215,375611.304016,378366.230561,2
216,375611.304016,379688.370013,3
217,375611.304016,378405.332796,4
218,375611.304016,381667.044750,5
219,375611.304016,383290.988031,6
220,375611.304016,383015.791842,7
221,375611.304016,382597.006946,8
222,375611.304016,384455.654490,9
223,375611.304016,382368.544851,10
224,375611.304016,384835.712937,11
225,375611.304016,387156.926460,12
226,375611.304016,379952.368322,13
227,375608.713484,380188.907521,14
228,375598.398356,381378.225185,0
229,375595.807823,378898.723973,0
230,375595.807823,379852.236305,0
231,375595.807823,377824.453060,1
232,375595.807823,381987.187420,2
233,375595.807823,381567.656012,3
234,375595.807823,382964.846896,4
235,375595.807823,382031.193659,5
236,375595.807823,381058.659011,6
237,375595.807823,385050.042518,7
238,375595.807823,381718.863000,8
239,375595.807823,379970.265386,9
240,375595.807823,380498.303678,10
241,375595.807823,384998.937516,11
242,375595.807823,382035.602076,12
243,375595.807823,380576.694611,13
244,375595.807823,379621.009777,14
245,375595.807823,382599.330825,15
246,375595.807823,381696.782096,16
247,375595.807823,383261.778357,17
248,375583.896552,380435.559531,18
249,375344.033402,378882.587234,0
250,375344.033402,378588.516398,0
251,375239.326040,380319.266732,1
252,375233.422596,378023.650845,0
253,375233.422596,378860.027542,0
254,375233.422596,377142.748644,1
255,375233.422596,378562.762422,2
256,375169.413410,381405.471317,3
257,375169.413410,379216.049748,0
258,375163.509965,380676.333850,1
259,375163.509965,382670.743701,0
260,375163.509965,382490.660200,1
261,375163.509965,380712.723450,2
262,375163.509965,378017.555751,3
263,375163.509965,382061.851539,4
264,375163.509965,381625.733000,5
265,375163.509965,379891.253476,6
266,375163.509965,381204.423158,7
267,375163.509965,382668.947038,8
268,375163.509965,383596.309355,9
269,375163.509965,380475.399311,10
270,375163.509965,378866.643644,11
271,375163.509965,379441.369738,12
272,375163.509965,381126.356296,13
273,375163.509965,380999.717998,14
274,375163.509965,383962.189117,15
275,375163.509965,384430.255161,16
276,375163.509965,382280.124972,17
277,375163.509965,383353.815127,18
278,375163.509965,387511.096628,19
279,375163.509965,388685.782512,20
280,375163.509965,384307.995327,21
281,375163.509965,385941.234699,22
282,375163.509965,383858.992368,23
