gen,best,avg,stable
231,156534101.622093,451471018.954467,229
232,156534101.622093,250467082.814777,230
233,156534101.622093,212034680.004661,231
234,156534101.622093,212108754.102843,232
235,156534101.622093,356048683.549946,233
236,156534101.622093,353541045.157188,234
237,156534101.622093,208361519.092472,235
238,156534101.622093,303575199.771622,236
239,156534101.622093,306104718.745751,237
240,156534101.622093,294196680.157869,238
241,156534101.622093,207921839.804448,239
242,156534101.622093,209009845.294700,240
243,156534101.622093,206377061.666334,241
244,156534101.622093,205988644.267869,242
245,156534101.622093,304161641.033848,243
246,156534101.622093,300567908.558535,244
247,156534101.622093,244433414.895976,245
248,156534101.622093,303462551.071889,246
249,156534101.622093,158857324.579888,247
250,156534101.622093,301472349.186319,248
251,156534101.622093,253298217.251876,249
252,156534101.622093,253869296.761521,250
253,156534101.622093,301761717.896469,251
254,156534101.622093,207919426.882673,252
255,156534101.622093,206121457.597060,253
256,156534101.622093,250328985.806319,254
257,156534101.622093,159241030.392879,255
258,156534101.622093,255415253.865518,256
259,156534101.622093,157307226.271630,257
260,156534101.622093,301455873.697364,258
261,156534101.622093,255219327.661548,259
262,156534101.622093,254967854.903999,260
263,156534101.622093,157053020.462569,261
264,156534101.622093,157182397.709300,262
265,156534101.622093,205759931.016646,263
266,156534101.622093,255688687.767587,264
267,156534101.622093,209661795.543416,265
268,156534101.622093,206467608.907245,266
269,156534101.622093,158626849.758391,267
270,156534101.622093,255685988.635402,268
271,156534101.622093,207808463.818892,269
272,156534101.622093,256241865.450114,270
273,156534101.622093,208660435.666084,271
274,156534101.622093,304199468.652700,272
275,156534101.622093,160462622.696772,273
276,156534101.622093,355739714.651065,274
277,156534101.622093,306395158.488722,275
278,156534101.622093,306735346.557387,276
279,156534101.622093,212249613.520459,277
280,156534101.622093,212877618.592033,278
281,156534101.622093,210960304.788985,279
282,156534101.622093,354030535.225455,280
283,156534101.622093,385114451.334363,281
284,156534101.622093,160780836.524610,282
285,156534101.622093,209078020.258490,283
286,156534101.622093,355197607.965954,284
287,156534101.622093,306056255.554483,285
288,156534101.622093,304755511.053020,286
289,156534101.622093,208987292.617101,287
290,156534101.622093,257669302.023873,288
291,156534101.622093,257366528.531819,289
292,156534101.622093,256736796.710885,290
293,156534101.622093,381254382.376277,291
294,156534101.622093,260764239.131143,292
295,156534101.622093,405753031.774352,293
296,156534101.622093,162099349.696121,294
297,156534101.622093,305082335.120890,295
298,156534101.622093,209273521.720155,296
299,156534101.622093,162543900.308508,297
300,156534101.622093,209229364.774814,298
301,156534101.622093,254401667.419407,299
302,156534101.622093,304878129.172586,300
303,156534101.622093,304603096.502958,301
304,156534101.622093,302258602.133119,302
305,156534101.622093,257496161.358016,303
306,156534101.622093,255859523.482347,304
307,156534101.622093,160345080.318606,305
308,156534101.622093,302766618.581018,306
309,156534101.622093,252190934.855241,307
310,156534101.622093,208213280.718880,308
311,156534101.622093,255801041.831558,309
312,156534101.622093,160609597.112238,310
313,156534101.622093,209589184.606537,311
314,156534101.622093,305782562.078463,312
315,156534101.622093,245415790.308608,313
316,156534101.622093,256621376.219634,314
317,156534101.622093,353471708.866199,315
318,156534101.622093,352008710.541200,316
319,156534101.622093,355513619.748101,317
320,156534101.622093,354948946.947966,318
321,156534101.622093,247623457.846385,319
322,156534101.622093,210660035.349715,320
323,156534101.622093,160713165.800292,321
324,156534101.622093,162822631.171984,322
325,156534101.622093,305997901.885635,323
326,156534101.622093,307138842.348702,324
327,156534101.622093,208848951.643034,325
328,156534101.622093,401853651.680549,326
329,156534101.622093,209940963.341087,327
330,156534101.622093,208464287.656427,328
331,156534101.622093,259356416.676983,329
332,156534101.622093,258735639.250197,330
333,156534101.622093,305706255.784688,331
334,156534101.622093,299385400.892452,332
335,156534101.622093,159757051.012697,333
336,156534101.622093,256459448.640480,334
337,156534101.622093,207246060.760186,335
338,156534101.622093,339908937.999422,336
339,156534101.622093,204950714.369774,337
340,156534101.622093,352865359.707195,338
341,156534101.622093,208403708.531586,339
342,156534101.622093,158533591.239363,340
343,156534101.622093,255019164.166106,341
344,156534101.622093,158485111.113462,342
345,156534101.622093,301534294.752345,343
346,156534101.622093,206778225.917732,344
347,156534101.622093,303707092.155689,345
348,156534101.622093,207419274.894903,346
349,156534101.622093,301066578.644721,347
350,156534101.622093,380212931.376720,348
351,156534101.622093,206874430.364882,349
352,156534101.622093,159396379.316580,350
353,156534101.622093,208361573.072874,351
354,156534101.622093,206980626.754030,352
355,156534101.622093,303080501.501710,353
356,156534101.622093,205511837.024802,354
357,156534101.622093,255561249.827896,355
358,156534101.622093,196320926.005756,356
359,156534101.622093,350424417.078327,357
360,156534101.622093,242897581.919002,358
361,156534101.622093,302987509.115884,359
362,156534101.622093,208174530.752219,360
363,156534101.622093,256086209.135023,361
364,156534101.622093,303488209.788738,362
365,156534101.622093,255285239.533741,363
366,156534101.622093,158640808.564788,364
367,156534101.622093,205857944.472199,365
368,156534101.622093,301262597.652481,366
369,156534101.622093,205638939.525405,367
370,156534101.622093,254161367.934291,368
371,156534101.622093,253351768.402975,369
372,156534101.622093,202491637.622191,370
373,156534101.622093,302848007.594406,371
374,156534101.622093,390349793.775910,372
375,156534101.622093,162683518.900618,373
376,156534101.622093,304696502.718989,374
377,156534101.622093,387911464.202977,375
378,156534101.622093,255128947.330682,376
379,156534101.622093,349143351.005157,377
380,156534101.622093,288224883.038521,378
381,156534101.622093,255955260.381167,379
382,156534101.622093,208246159.209341,380
383,156534101.622093,158465770.513967,381
384,156534101.622093,303722713.784595,382
385,156534101.622093,255532262.560826,383
386,156534101.622093,254742044.775074,384
387,156534101.622093,303690790.161342,385
388,156534101.622093,395914729.780248,386
389,156534101.622093,256799346.219742,387
390,156534101.622093,207211706.375063,388
391,156534101.622093,305912713.875622,389
392,156534101.622093,242460485.649253,390
393,156534101.622093,399639813.387260,391
394,156534101.622093,393065327.881301,392
395,156534101.622093,301454657.747420,393
396,156534101.622093,270558818.799631,394
397,156534101.622093,276148373.466169,395
398,156534101.622093,342446440.532283,396
399,156534101.622093,161544548.878435,397
400,156534101.622093,304572241.264508,398
401,156534101.622093,244128593.733798,399
402,156534101.622093,256032872.534874,400
403,156534101.622093,206568231.074051,401
